Number,Type,Skin,NumberTraits,Traits,Rarity,HiddenTraits,Owner
0,Female,Mid-skinned,3,"['Blonde Bob', 'Earring', 'Green Eye Shadow']",2023,['Hidden Earring'],0xE08c32
1,Male,Dark-skinned,2,"['Mohawk', 'Smile']",4352,,0xB88F61
2,Female,Light-skinned,1,['Wild Hair'],8090,,0x897aEA
3,Male,Dark-skinned,3,"['Nerd Glasses', 'Pipe', 'Wild Hair']",7896,,0xC352B5
4,Male,Mid-skinned,4,"['Big Shades', 'Earring', 'Goat', 'Wild Hair']",7332,,0xC352B5
5,Female,Mid-skinned,3,"['Earring', 'Half Shaved', 'Purple Eye Shadow']",1960,['Hidden Earring'],
6,Male,Mid-skinned,1,['Do-rag'],7425,,0xC352B5
7,Female,Mid-skinned,3,"['Clown Eyes Blue', 'Spots', 'Wild White Hair']",866,,0xC352B5
8,Male,Dark-skinned,2,"['Luxurious Beard', 'Messy Hair']",6530,,0xC352B5
9,Male,Mid-skinned,3,"['Big Beard', 'Clown Nose', 'Police Cap']",1761,,0xC352B5
10,Female,Dark-skinned,2,"['Blue Eye Shadow', 'Mohawk']",5668,,0xC352B5
11,Female,Mid-skinned,3,"['Black Lipstick', 'Clown Eyes Green', 'Straight Hair Dark']",2565,,0xC352B5
12,Female,Dark-skinned,2,"['Blonde Short', 'Purple Lipstick']",1201,,0xC352B5
13,Female,Light-skinned,3,"['Big Shades', 'Black Lipstick', 'Straight Hair Blonde']",1657,,0xC352B5
14,Female,Dark-skinned,3,"['Hot Lipstick', 'Pilot Helmet', 'Pipe']",155,,0x7C00c9
15,Male,Albino-skinned,3,"['Luxurious Beard', 'Regular Shades', 'Wild Hair']",6494,,0xC352B5
16,Male,Mid-skinned,3,"['Earring', 'Small Shades', 'Stringy Hair']",8315,,0xC352B5
17,Male,Light-skinned,2,"['Frown', 'Mohawk']",5303,,0xC352B5
18,Male,Mid-skinned,2,"['Eye Mask', 'Muttonchops']",4458,,0xC352B5
19,Female,Dark-skinned,3,"['Bandana', 'Horned Rim Glasses', 'Hot Lipstick']",9915,,0xC352B5
20,Male,Light-skinned,1,['Crazy Hair'],8045,,0xC352B5
21,Male,Light-skinned,3,"['Classic Shades', 'Earring', 'Messy Hair']",9607,,0xC352B5
22,Female,Dark-skinned,2,"['Pilot Helmet', 'Purple Lipstick']",183,,0xC352B5
23,Male,Light-skinned,3,"['Do-rag', 'Earring', 'Handlebars']",5480,,0xC352B5
24,Male,Light-skinned,2,"['Mohawk Dark', 'Smile']",4341,,0xC352B5
25,Female,Dark-skinned,1,['Wild White Hair'],1268,,0xC352B5
26,Female,Mid-skinned,1,['Dark Hair'],3027,,0xC352B5
27,Male,Light-skinned,2,"['Earring', 'Peak Spike']",7831,,0xC352B5
28,Male,Dark-skinned,2,"['Big Shades', 'Crazy Hair']",8763,,0xC352B5
29,Female,Mid-skinned,3,"['Earring', 'Half Shaved', 'Horned Rim Glasses']",2297,['Hidden Earring'],0xC352B5
30,Male,Dark-skinned,2,"['Cap', 'Normal Beard Black']",6777,,0x897aEA
31,Female,Dark-skinned,1,['Stringy Hair'],8104,,0xC352B5
32,Male,Light-skinned,2,"['Frown', 'VR']",4393,,0x5ea968
33,Male,Light-skinned,1,['Peak Spike'],7635,,0x6611fE
34,Female,Light-skinned,2,"['Frumpy Hair', 'Purple Lipstick']",9448,,0xC352B5
35,Male,Dark-skinned,5,"['Cigarette', 'Earring', 'Horned Rim Glasses', 'Normal Beard', 'Peak Spike']",3351,,0xC352B5
36,Female,Mid-skinned,1,['Red Mohawk'],2165,,0xC352B5
37,Female,Dark-skinned,2,"['Cap', 'Clown Eyes Blue']",8136,,0xC352B5
38,Female,Light-skinned,3,"['Classic Shades', 'Frumpy Hair', 'Purple Lipstick']",9353,,0xC352B5
39,Male,Light-skinned,3,"['Frown', 'Regular Shades', 'Shaved Head']",5226,,
40,Male,Light-skinned,3,"['Bandana', 'Chinstrap', 'Smile']",4247,,0xC352B5
41,Male,Dark-skinned,3,"['Clown Eyes Green', 'Muttonchops', 'Wild Hair']",7666,,0xC352B5
42,Female,Dark-skinned,2,"['Cigarette', 'Wild Hair']",9586,,0xC352B5
43,Female,Mid-skinned,1,['Half Shaved'],2166,,0xC352B5
44,Male,Light-skinned,1,['Messy Hair'],8099,,0xC352B5
45,Male,Mid-skinned,2,"['Earring', 'Mole']",4576,,0xC352B5
46,Female,Mid-skinned,2,"['Purple Lipstick', 'Straight Hair Dark']",2684,,0xC352B5
47,Male,Dark-skinned,1,['Knitted Cap'],8051,,0xC352B5
48,Male,Light-skinned,2,"['Big Shades', 'Mohawk']",9206,,0xC352B5
49,Female,Dark-skinned,2,"['Bandana', 'Purple Eye Shadow']",5447,,
50,Male,Mid-skinned,2,"['Fedora', 'Spots']",902,,0xC352B5
51,Male,Mid-skinned,3,"['Earring', 'Muttonchops', 'Wild Hair']",7731,,
52,Male,Dark-skinned,4,"['Earring', 'Knitted Cap', 'Nerd Glasses', 'Shadow Beard']",8864,,0xC352B5
53,Female,Light-skinned,2,"['Big Shades', 'Straight Hair']",2825,,0xB813c6
54,Male,Dark-skinned,1,['Hoodie'],4934,,0xC352B5
55,Male,Light-skinned,1,['Eye Patch'],4502,,0xC352B5
56,Male,Dark-skinned,1,['Shaved Head'],7421,,0xC352B5
57,Male,Light-skinned,1,['Headband'],8037,,0xC352B5
58,Male,Mid-skinned,2,"['Hoodie', 'Normal Beard Black']",4876,,0x897aEA
59,Male,Albino-skinned,2,"['Cowboy Hat', 'Muttonchops']",1420,,0xC352B5
60,Female,Light-skinned,2,"['Purple Lipstick', 'Stringy Hair']",9849,,
61,Female,Light-skinned,1,['Dark Hair'],3026,,0xC352B5
62,Female,Dark-skinned,4,"['Clown Eyes Blue', 'Earring', 'Hot Lipstick', 'Mohawk Dark']",8506,,0xC352B5
63,Male,Dark-skinned,3,"['Earring', 'Shaved Head', 'Small Shades']",7434,,
64,Female,Mid-skinned,2,"['Purple Lipstick', 'Straight Hair Blonde']",1719,,0xC352B5
65,Female,Mid-skinned,2,"['Eye Mask', 'Headband']",7127,,0xC352B5
66,Female,Dark-skinned,1,['Tassle Hat'],3656,,0xC352B5
67,Female,Dark-skinned,3,"['3D Glasses', 'Half Shaved', 'Purple Lipstick']",2067,,0xC352B5
68,Male,Dark-skinned,2,"['Do-rag', 'Nerd Glasses']",7570,,
69,Male,Mid-skinned,2,"['Fedora', 'Normal Beard Black']",3818,,
70,Female,Mid-skinned,4,"['Cigarette', 'Crazy Hair', 'Earring', 'Regular Shades']",8742,,0xC352B5
71,Female,Light-skinned,3,"['Green Eye Shadow', 'Half Shaved', 'Purple Lipstick']",2011,,0xC352B5
72,Male,Dark-skinned,4,"['Earring', 'Fedora', 'Nerd Glasses', 'Normal Beard']",3825,,0xC352B5
73,Female,Mid-skinned,3,"['Bandana', 'Black Lipstick', 'Earring']",9952,,0xC352B5
74,Male,Dark-skinned,3,"['Earring', 'Mohawk Dark', 'Shadow Beard']",8981,,
75,Male,Light-skinned,3,"['Eye Patch', 'Knitted Cap', 'Shadow Beard']",8839,,0xC352B5
76,Male,Light-skinned,2,"['Cigarette', 'Do-rag']",7590,,0xC352B5
77,Male,Dark-skinned,2,"['Handlebars', 'Stringy Hair']",5613,,0xC352B5
78,Male,Mid-skinned,3,"['Eye Patch', 'Handlebars', 'Knitted Cap']",5546,,
79,Male,Dark-skinned,2,"['Mohawk Dark', 'Normal Beard']",7010,,
80,Male,Albino-skinned,2,"['Mustache', 'Wild Hair']",6696,,0xC352B5
81,Male,Light-skinned,2,"['Headband', 'Small Shades']",8251,,0xC352B5
82,Male,Albino-skinned,1,['Headband'],8033,,0xC352B5
83,Male,Light-skinned,3,"['Shaved Head', 'Small Shades', 'Vape']",5861,,0xC352B5
84,Male,Light-skinned,3,"['Big Shades', 'Earring', 'Messy Hair']",9656,,
85,Female,Dark-skinned,1,['Crazy Hair'],8042,,0xC352B5
86,Female,Dark-skinned,4,"['Earring', 'Green Eye Shadow', 'Hot Lipstick', 'Knitted Cap']",5751,,0xC352B5
87,Male,Light-skinned,2,"['Earring', 'Hoodie']",4998,['Hidden Earring'],0xC352B5
88,Female,Light-skinned,2,"['Cap', 'Hot Lipstick']",8231,,0xC352B5
89,Female,Dark-skinned,1,['Choker'],125,,0x78f026
90,Male,Mid-skinned,2,"['Eye Patch', 'Hoodie']",4954,,0xC352B5
91,Female,Light-skinned,2,"['Clown Nose', 'Straight Hair']",2730,,0xC352B5
92,Female,Light-skinned,3,"['Nerd Glasses', 'Pink With Hat', 'Purple Lipstick']",729,,0xC352B5
93,Female,Light-skinned,1,['Bandana'],8114,,0xC352B5
94,Female,Dark-skinned,3,"['Earring', 'Pink With Hat', 'Regular Shades']",720,['Hidden Earring'],0xC352B5
95,Male,Mid-skinned,2,"['Earring', 'Mohawk']",9339,,
96,Female,Light-skinned,1,['Blonde Bob'],2161,,0xC352B5
97,Male,Mid-skinned,1,['Wild Hair'],8093,,0xC352B5
98,Female,Light-skinned,3,"['Black Lipstick', 'Dark Hair', 'Welding Goggles']",436,,0xC352B5
99,Male,Mid-skinned,2,"['Cigarette', 'Hoodie']",4997,,0xC352B5
100,Female,Mid-skinned,1,['Tassle Hat'],3658,,0xC352B5
101,Male,Mid-skinned,2,"['Nerd Glasses', 'Police Cap']",4069,,0xC352B5
102,Male,Mid-skinned,2,"['Luxurious Beard', 'Vampire Hair']",2078,,0xB88F61
103,Female,Dark-skinned,3,"['Black Lipstick', 'Blonde Bob', 'Green Eye Shadow']",2005,,0x89621B
104,Male,Dark-skinned,4,"['Crazy Hair', 'Earring', 'Eye Patch', 'Normal Beard Black']",6805,,0xC352B5
105,Male,Light-skinned,1,['Mohawk Thin'],8074,,0xC352B5
106,Female,Light-skinned,1,['Straight Hair Blonde'],1589,,0xC352B5
107,Male,Mid-skinned,1,['Headband'],8039,,0xC352B5
108,Female,Light-skinned,2,"['Black Lipstick', 'Headband']",8682,,0xd0C877
109,Male,Dark-skinned,3,"['Earring', 'Fedora', 'Handlebars']",3778,,0xeEE5Eb
110,Female,Dark-skinned,4,"['Cigarette', 'Earring', 'Mohawk Dark', 'Purple Lipstick']",9046,,0xC352B5
111,Male,Dark-skinned,2,"['Handlebars', 'Knitted Cap']",5551,,0x2Debdf
112,Male,Mid-skinned,4,"['Bandana', 'Big Beard', 'Earring', 'Horned Rim Glasses']",1877,,0xC352B5
113,Male,Albino-skinned,1,['Mohawk'],8066,,0xC352B5
114,Female,Dark-skinned,1,['Red Mohawk'],2158,,0xC352B5
115,Female,Dark-skinned,2,"['Earring', 'Half Shaved']",2421,['Hidden Earring'],0xC352B5
116,Female,Dark-skinned,4,"['Black Lipstick', 'Clown Eyes Blue', 'Earring', 'Tiara']",220,,0x9Ef55a
117,Zombie,Zombie-skinned,2,"['Front Beard Dark', 'Messy Hair']",504,,0xC352B5
118,Female,Light-skinned,2,"['Bandana', 'Black Lipstick']",9954,,0x9179de
119,Male,Mid-skinned,2,"['Cap', 'Earring']",8245,,0xB88F61
120,Female,Mid-skinned,2,"['Big Shades', 'Tassle Hat']",3703,,0xC352B5
121,Female,Light-skinned,2,"['Purple Lipstick', 'Tiara']",243,,0xC352B5
122,Male,Light-skinned,2,"['Cigarette', 'Mohawk']",9323,,0x78e96B
123,Female,Mid-skinned,2,"['Spots', 'Wild White Hair']",868,,0xC352B5
124,Male,Mid-skinned,3,"['Earring', 'Normal Beard Black', 'Peak Spike']",6760,,0x8BFE24
125,Female,Light-skinned,3,"['Big Shades', 'Purple Lipstick', 'Tassle Hat']",3693,,0xC352B5
126,Male,Albino-skinned,4,"['Cigarette', 'Earring', 'Eye Patch', 'Headband']",8605,,0xC352B5
127,Female,Mid-skinned,2,"['Clown Eyes Green', 'Stringy Hair']",8453,,0x4d8E16
128,Male,Light-skinned,4,"['Chinstrap', 'Mole', 'Police Cap', 'Vape']",3938,['Hidden Mole'],0xC352B5
129,Male,Light-skinned,4,"['Cap Forward', 'Cigarette', 'Gold Chain', 'Horned Rim Glasses']",3389,,0xC352B5
130,Male,Light-skinned,1,['Mohawk'],8075,,0xC352B5
131,Female,Mid-skinned,2,"['Hot Lipstick', 'Straight Hair Dark']",2694,,0xC352B5
132,Male,Dark-skinned,1,['Mohawk Thin'],8070,,0xC352B5
133,Male,Albino-skinned,3,"['Chinstrap', 'Pipe', 'Purple Hair']",3149,,0xC352B5
134,Male,Mid-skinned,1,['Police Cap'],4021,,0xC352B5
135,Male,Light-skinned,1,['Cap Forward'],4708,,0xC352B5
136,Male,Dark-skinned,3,"['Clown Eyes Green', 'Shadow Beard', 'Shaved Head']",7444,,0xB88F61
137,Male,Dark-skinned,1,['Messy Hair'],8097,,0xC352B5
138,Male,Light-skinned,2,"['Horned Rim Glasses', 'Stringy Hair']",9806,,0x22fa8C
139,Male,Mid-skinned,2,"['Do-rag', 'Eye Patch']",7470,,0xaEdAf3
140,Female,Dark-skinned,1,['Hot Lipstick'],4532,,0xC352B5
141,Male,Dark-skinned,3,"['3D Glasses', 'Chinstrap', 'Headband']",6115,,0x285bE4
142,Male,Light-skinned,2,"['Mohawk', 'Regular Shades']",9168,,0xB88F61
143,Male,Light-skinned,2,"['Beanie', 'Horned Rim Glasses']",91,,0x09D408
144,Male,Dark-skinned,3,"['Cigarette', 'Frumpy Hair', 'Luxurious Beard']",6479,,0xB88F61
145,Male,Light-skinned,1,['Wild Hair'],8091,,0xC352B5
146,Male,Light-skinned,2,"['Earring', 'Mohawk']",9335,,0xB88F61
147,Male,Albino-skinned,2,"['Mohawk Thin', 'Regular Shades']",9158,,0xB88F61
148,Male,Mid-skinned,1,['Hoodie'],4935,,0xC352B5
149,Male,Light-skinned,3,"['Big Shades', 'Luxurious Beard', 'Messy Hair']",6522,,0xB88F61
150,Female,Mid-skinned,2,"['Earring', 'Purple Lipstick']",4578,,0xFeEb2d
151,Male,Mid-skinned,2,"['Stringy Hair', 'VR']",8015,,0xB88F61
152,Male,Light-skinned,2,"['Clown Eyes Green', 'Mohawk Dark']",8371,,0xB88F61
153,Male,Mid-skinned,3,"['Cap', 'Earring', 'Eye Mask']",7120,,0xB88F61
154,Male,Dark-skinned,3,"['Earring', 'Hoodie', 'Shadow Beard']",4969,['Hidden Earring'],0xC352B5
155,Male,Dark-skinned,2,"['Clown Hair Green', 'Clown Nose']",2455,,0xca5E7f
156,Male,Dark-skinned,2,"['Cap Forward', 'Small Shades']",4715,,0xB88F61
157,Male,Mid-skinned,2,"['Cap', 'Cigarette']",8237,,0xB88F61
158,Male,Light-skinned,3,"['Goat', 'Regular Shades', 'Wild Hair']",7330,,0xB88F61
159,Male,Light-skinned,2,"['Earring', 'Stringy Hair']",9873,,0xB88F61
160,Female,Mid-skinned,3,"['Clown Eyes Blue', 'Pigtails', 'Purple Lipstick']",612,,0x565496
161,Female,Dark-skinned,2,"['Frumpy Hair', 'Hot Lipstick']",9452,,0x88bC3E
162,Male,Mid-skinned,3,"['Frumpy Hair', 'Horned Rim Glasses', 'Normal Beard Black']",6860,,0xB88F61
163,Male,Dark-skinned,2,"['Eye Patch', 'Shaved Head']",7466,,0xB88F61
164,Female,Mid-skinned,2,"['Stringy Hair', 'VR']",8014,,0xC352B5
165,Male,Mid-skinned,3,"['Cigarette', 'Front Beard Dark', 'Mohawk Dark']",5111,,0xB88F61
166,Male,Dark-skinned,2,"['Regular Shades', 'Shaved Head']",7528,,0xB88F61
167,Female,Mid-skinned,2,"['Headband', 'Hot Lipstick']",8698,,0x4d8E16
168,Female,Light-skinned,3,"['Blonde Bob', 'Blue Eye Shadow', 'Silver Chain']",1880,,0x78f026
169,Female,Mid-skinned,3,"['Hot Lipstick', 'Regular Shades', 'Wild White Hair']",1299,,0x2E5CcF
170,Male,Light-skinned,3,"['Classic Shades', 'Mole', 'Peak Spike']",7775,,0xB88F61
171,Male,Mid-skinned,3,"['Earring', 'Mole', 'Stringy Hair']",9837,,0xB88F61
172,Female,Mid-skinned,3,"['3D Glasses', 'Blonde Bob', 'Purple Lipstick']",2068,,0xC352B5
173,Female,Dark-skinned,5,"['Clown Eyes Blue', 'Hot Lipstick', 'Messy Hair', 'Mole', 'Pipe']",3360,,0x50664e
174,Male,Dark-skinned,3,"['Earring', 'Horned Rim Glasses', 'Wild Hair']",9534,,0xB88F61
175,Male,Mid-skinned,2,"['Big Shades', 'Cap']",8197,,0xB88F61
176,Female,Dark-skinned,4,"['Earring', 'Purple Lipstick', 'Regular Shades', 'Wild Hair']",9512,['Hidden Earring'],0xC352B5
177,Male,Dark-skinned,2,"['Bandana', 'Luxurious Beard']",6561,,0xB88F61
178,Male,Mid-skinned,1,['Fedora'],3855,,0xC352B5
179,Male,Albino-skinned,3,"['Classic Shades', 'Mohawk Thin', 'Shadow Beard']",9095,,0xB88F61
180,Female,Dark-skinned,2,"['Hot Lipstick', 'Pilot Helmet']",189,,0xFeEb2d
181,Male,Dark-skinned,1,['Mohawk'],8071,,0xC352B5
182,Male,Albino-skinned,1,['Peak Spike'],7633,,0xC352B5
183,Male,Light-skinned,1,['Shadow Beard'],4507,,0xC352B5
184,Female,Dark-skinned,2,"['Blonde Bob', 'Green Eye Shadow']",2025,,0xC352B5
185,Female,Light-skinned,2,"['Hot Lipstick', 'Wild White Hair']",1334,,0xC352B5
186,Male,Dark-skinned,2,"['Crazy Hair', 'Mustache']",6642,,0xC9D963
187,Female,Light-skinned,1,['Straight Hair'],2777,,0xC352B5
188,Male,Dark-skinned,3,"['Earring', 'Nerd Glasses', 'Peak Spike']",7815,,0xB88F61
189,Female,Light-skinned,2,"['Mohawk Thin', 'Purple Lipstick']",9288,,0x4d8E16
190,Male,Dark-skinned,1,['Headband'],8035,,0xC352B5
191,Female,Dark-skinned,1,['Mohawk'],8068,,0xC352B5
192,Male,Mid-skinned,4,"['Clown Nose', 'Earring', 'Mohawk Thin', 'Nerd Glasses']",4170,,0x4d8E16
193,Female,Light-skinned,3,"['Earring', 'Green Eye Shadow', 'Tassle Hat']",3623,['Hidden Earring'],0x4d8E16
194,Male,Light-skinned,2,"['Clown Eyes Green', 'Wild Hair']",8423,,0xB88F61
195,Female,Light-skinned,2,"['Nerd Glasses', 'Straight Hair Blonde']",1687,,0xC06dBD
196,Female,Light-skinned,3,"['Big Shades', 'Hot Lipstick', 'Tassle Hat']",3695,,0xC352B5
197,Male,Dark-skinned,2,"['Eye Patch', 'Frumpy Hair']",9348,,0x5Bf18d
198,Male,Mid-skinned,2,"['Beanie', 'Luxurious Beard']",68,,0xC352B5
199,Female,Light-skinned,2,"['Blonde Short', 'Classic Shades']",1161,,0xC352B5
200,Female,Dark-skinned,1,['Wild Hair'],8088,,0xC352B5
201,Female,Mid-skinned,4,"['Blue Eye Shadow', 'Cigarette', 'Dark Hair', 'Hot Lipstick']",2996,,0x4d8E16
202,Female,Light-skinned,3,"['Earring', 'Headband', 'Purple Lipstick']",8691,,0x4d8E16
203,Male,Light-skinned,3,"['Front Beard', 'Messy Hair', 'Regular Shades']",6082,,0xAB6cA2
204,Male,Mid-skinned,2,"['Crazy Hair', 'Regular Shades']",8749,,0xeAB37B
205,Male,Mid-skinned,3,"['Big Shades', 'Mohawk Dark', 'Normal Beard Black']",6829,,0xAE7721
206,Male,Light-skinned,3,"['Cap Forward', 'Cigarette', 'Clown Nose']",4087,,0x4d8E16
207,Male,Light-skinned,3,"['Eye Patch', 'Peak Spike', 'Pipe']",7616,,0x41fcF4
208,Male,Mid-skinned,3,"['3D Glasses', 'Earring', 'Shaved Head']",6321,,0xB88F61
209,Female,Dark-skinned,2,"['Hot Lipstick', 'Stringy Hair']",9856,,0x4d8E16
210,Female,Mid-skinned,2,"['Earring', 'Straight Hair Dark']",2708,['Hidden Earring'],0xC352B5
211,Male,Dark-skinned,2,"['Goat', 'Mohawk Thin']",7320,,
212,Female,Dark-skinned,2,"['Crazy Hair', 'Hot Lipstick']",8822,,0xC352B5
213,Female,Mid-skinned,1,['Crazy Hair'],8046,,0xC352B5
214,Male,Dark-skinned,2,"['Front Beard Dark', 'Mohawk']",5128,,0xD7E683
215,Female,Mid-skinned,1,['Mohawk'],8076,,0xC352B5
216,Male,Mid-skinned,1,['Bandana'],8117,,0xC352B5
217,Male,Mid-skinned,3,"['Chinstrap', 'Earring', 'Mohawk Dark']",6210,,0xB88F61
218,Male,Light-skinned,4,"['Cap', 'Handlebars', 'Mole', 'Regular Shades']",5511,,0xB88F61
219,Female,Dark-skinned,4,"['Bandana', 'Clown Eyes Blue', 'Earring', 'Rosy Cheeks']",1062,,0xC352B5
220,Male,Albino-skinned,2,"['Big Shades', 'Headband']",8652,,0xEc7641
221,Male,Dark-skinned,4,"['Cigarette', 'Classic Shades', 'Muttonchops', 'Stringy Hair']",7758,,0xB88F61
222,Male,Light-skinned,3,"['Do-rag', 'Pipe', 'Small Shades']",7395,,
223,Male,Light-skinned,3,"['Crazy Hair', 'Nerd Glasses', 'Normal Beard']",6982,,0x4d8E16
224,Male,Light-skinned,4,"['Cigarette', 'Earring', 'Headband', 'Nerd Glasses']",8669,,0xB88F61
225,Female,Mid-skinned,3,"['Earring', 'Hot Lipstick', 'Orange Side']",311,['Hidden Earring'],0xC352B5
226,Female,Mid-skinned,1,['Hot Lipstick'],4534,,0xC352B5
227,Female,Mid-skinned,1,['Wild White Hair'],1270,,0xC352B5
228,Male,Mid-skinned,2,"['Peak Spike', 'Small Shades']",7663,,0xB88F61
229,Male,Light-skinned,2,"['Cigarette', 'Messy Hair']",9727,,0xcFD9cc
230,Male,Dark-skinned,2,"['Knitted Cap', 'Luxurious Beard']",6429,,0xB88F61
231,Female,Mid-skinned,3,"['Earring', 'Pipe', 'Stringy Hair']",7915,,0xC352B5
232,Female,Dark-skinned,2,"['Blue Eye Shadow', 'Wild Hair']",5688,,0x4d8E16
233,Female,Albino-skinned,2,"['Bandana', 'Hot Lipstick']",9978,,0x4d8E16
234,Male,Light-skinned,2,"['Knitted Cap', 'Nerd Glasses']",8910,,0x5ad2D7
235,Male,Light-skinned,2,"['Cigarette', 'Frumpy Hair']",9461,,0xd7510a
236,Male,Light-skinned,2,"['Muttonchops', 'Vampire Hair']",2121,,0x47398F
237,Male,Dark-skinned,2,"['Mohawk', 'Regular Shades']",9165,,0x55Cf34
238,Female,Mid-skinned,2,"['Clown Eyes Green', 'Straight Hair Dark']",2577,,0xee269a
239,Male,Dark-skinned,3,"['Frown', 'Goat', 'Mohawk']",5213,,0xD21dA7
240,Female,Mid-skinned,2,"['Big Shades', 'Straight Hair Blonde']",1674,,0x6Ec30F
241,Female,Light-skinned,1,['Wild Blonde'],1590,,0x0601D0
242,Female,Dark-skinned,2,"['Black Lipstick', 'Stringy Hair']",9827,,0x3fb537
243,Male,Light-skinned,4,"['Cigarette', 'Earring', 'Front Beard', 'Police Cap']",3947,,0xC352B5
244,Female,Light-skinned,3,"['Purple Lipstick', 'Regular Shades', 'Wild Hair']",9513,,0x4d8E16
245,Female,Dark-skinned,1,['Dark Hair'],3025,,0xC352B5
246,Male,Albino-skinned,3,"['Bandana', 'Earring', 'Luxurious Beard']",6555,,0x618629
247,Female,Dark-skinned,2,"['Green Eye Shadow', 'Mohawk Dark']",5762,,0x4d8E16
248,Female,Dark-skinned,2,"['Messy Hair', 'Purple Eye Shadow']",5424,,0xB88F61
249,Female,Light-skinned,1,['Orange Side'],280,,0x69021A
250,Female,Mid-skinned,3,"['Clown Eyes Green', 'Earring', 'Frumpy Hair']",8409,['Hidden Earring'],0x4d8E16
251,Female,Light-skinned,2,"['Green Eye Shadow', 'Mohawk Dark']",5763,,0x4d8E16
252,Male,Albino-skinned,2,"['Cap Forward', 'Mole']",4772,,0x1B2965
253,Female,Dark-skinned,2,"['Blonde Short', 'Clown Eyes Green']",1145,,0xC352B5
254,Male,Light-skinned,1,['Fedora'],3854,,0xC352B5
255,Male,Light-skinned,2,"['Mustache', 'Shaved Head']",6584,,0xee269a
256,Male,Dark-skinned,4,"['Earring', 'Eye Patch', 'Fedora', 'Vape']",3781,,0xB88F61
257,Male,Light-skinned,2,"['Cap', 'Frown']",5261,,0x8F8B47
258,Male,Mid-skinned,2,"['Cap Forward', 'Handlebars']",4604,,0xEc7641
259,Male,Light-skinned,3,"['Cap Forward', 'Earring', 'Eye Mask']",4674,,0x1d28A7
260,Male,Dark-skinned,2,"['3D Glasses', 'Purple Hair']",3167,,0xa34D2d
261,Female,Dark-skinned,2,"['Black Lipstick', 'Wild White Hair']",1319,,0xC352B5
262,Female,Dark-skinned,2,"['Blonde Short', 'Regular Shades']",1167,,0xC352B5
263,Male,Albino-skinned,2,"['Messy Hair', 'Muttonchops']",7741,,0x7131A7
264,Female,Albino-skinned,2,"['Earring', 'Wild White Hair']",1339,['Hidden Earring'],0x8C6e56
265,Male,Dark-skinned,3,"['Cap Forward', 'Earring', 'Gold Chain']",3391,,0x5ea968
266,Male,Dark-skinned,3,"['Do-rag', 'Earring', 'Small Shades']",7435,,0x004Aa3
267,Male,Dark-skinned,2,"['Clown Nose', 'Fedora']",3748,,0x4d8E16
268,Female,Light-skinned,1,['Knitted Cap'],8052,,0xC352B5
269,Male,Dark-skinned,4,"['Earring', 'Hoodie', 'Luxurious Beard', 'Small Shades']",4840,['Hidden Earring'],0x0aa648
270,Female,Mid-skinned,2,"['Clown Eyes Blue', 'Red Mohawk']",2221,,0x4d8E16
271,Male,Mid-skinned,1,['Stringy Hair'],8109,,0xC352B5
272,Male,Mid-skinned,2,"['Buck Teeth', 'Messy Hair']",393,,0xC352B5
273,Male,Light-skinned,2,"['Big Shades', 'Cap Forward']",4761,,0xDCf227
274,Male,Light-skinned,4,"['Cap', 'Earring', 'Handlebars', 'Regular Shades']",5512,,0xB88F61
275,Female,Mid-skinned,3,"['Purple Eye Shadow', 'Purple Lipstick', 'Stringy Hair']",5432,,0x4d8E16
276,Female,Light-skinned,1,['Crazy Hair'],8044,,0xC352B5
277,Female,Light-skinned,1,['Red Mohawk'],2162,,0xC352B5
278,Female,Albino-skinned,2,"['Black Lipstick', 'Straight Hair Dark']",2661,,0xC352B5
279,Female,Mid-skinned,3,"['Blue Eye Shadow', 'Purple Lipstick', 'Straight Hair Blonde']",1527,,0xC352B5
280,Male,Albino-skinned,1,['Earring'],4538,,0x717403
281,Male,Light-skinned,0,[],7,,0x6611fE
282,Female,Albino-skinned,2,"['Classic Shades', 'Straight Hair Dark']",2601,,0x4d8E16
283,Female,Light-skinned,2,"['Frumpy Hair', 'Hot Lipstick']",9453,,0x717403
284,Male,Albino-skinned,1,['Mohawk Thin'],8067,,0xC352B5
285,Female,Light-skinned,2,"['Dark Hair', 'Purple Lipstick']",3101,,0x05083F
286,Male,Albino-skinned,2,"['Goat', 'Wild Hair']",7336,,0x0a690B
287,Female,Albino-skinned,3,"['Cigarette', 'Mohawk', 'Purple Eye Shadow']",5391,,0xB4d8B8
288,Male,Albino-skinned,1,['Shaved Head'],7419,,0xC352B5
289,Female,Mid-skinned,2,"['Eye Patch', 'Mohawk Thin']",9091,,0xC352B5
290,Female,Mid-skinned,1,['Wild Blonde'],1591,,0xC352B5
291,Male,Mid-skinned,2,"['Earring', 'Mohawk Thin']",9340,,0xb268F2
292,Female,Light-skinned,2,"['Black Lipstick', 'Tassle Hat']",3716,,0xC352B5
293,Male,Light-skinned,2,"['Handlebars', 'Mohawk Dark']",5565,,0xB88F61
294,Male,Dark-skinned,3,"['Big Shades', 'Earring', 'Hoodie']",4980,['Hidden Earring'],0x59a549
295,Male,Mid-skinned,2,"['Frown', 'Shaved Head']",5236,,0xB88F61
296,Male,Mid-skinned,1,['Mohawk Thin'],8078,,0xC352B5
297,Male,Mid-skinned,2,"['Crazy Hair', 'Muttonchops']",7686,,0xB88F61
