Number,Type,Skin,NumberTraits,Traits,Rarity,HiddenTraits,Owner
1917,Female,Mid-skinned,2,"['Frumpy Hair', 'Purple Eye Shadow']",5407,,0xCC7C33
1918,Female,Mid-skinned,3,"['Blonde Bob', 'Earring', 'Hot Lipstick']",2396,['Hidden Earring'],0xCC7C33
1919,Male,Light-skinned,2,"['Frown', 'Peak Spike']",5250,,0x6301Ad
1920,Male,Albino-skinned,3,"['Earring', 'Goat', 'Mohawk Dark']",7299,,0xCC7C33
1921,Male,Light-skinned,4,"['Cap', 'Clown Eyes Green', 'Earring', 'Mole']",8123,,0xAd74d7
1922,Male,Albino-skinned,2,"['Knitted Cap', 'VR']",7947,,0xCC7C33
1923,Male,Mid-skinned,3,"['Goat', 'Vape', 'Wild Hair']",5857,,0xCC7C33
1924,Female,Dark-skinned,2,"['Blue Eye Shadow', 'Dark Hair']",2999,,0x577eBC
1925,Male,Dark-skinned,2,"['Classic Shades', 'Hoodie']",4957,,0xCC7C33
1926,Female,Light-skinned,2,"['Blonde Short', 'Hot Lipstick']",1207,,0xCC7C33
1927,Male,Dark-skinned,2,"['Mohawk Thin', 'Muttonchops']",7715,,0xCC7C33
1928,Male,Dark-skinned,2,"['Clown Eyes Green', 'Crazy Hair']",8349,,0xCC7C33
1929,Male,Dark-skinned,2,"['Front Beard Dark', 'Police Cap']",3921,,0xCC7C33
1930,Female,Dark-skinned,2,"['Clown Eyes Blue', 'Crazy Hair']",8486,,0xCC7C33
1931,Female,Dark-skinned,2,"['Earring', 'Pilot Helmet']",195,['Hidden Earring'],0x577eBC
1932,Male,Mid-skinned,4,"['Big Shades', 'Earring', 'Muttonchops', 'Wild Hair']",7729,,0xBFd706
1933,Male,Mid-skinned,2,"['Eye Patch', 'Knitted Cap']",8849,,0x68A7Ac
